z6-18394,Port1,Port1,Port1,Port2,Port2,Port2,Port7,Port7,Port8,Port8
# Records: 31913,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,Battery,Battery,Barometer,Barometer
Timestamps, mS/cm EC, °C Water Temperature, mS/cm Weighted EC, mS/cm EC, °C Water Temperature, mS/cm Weighted EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
02/09/2025 06:00:00 PM,0.982,3.9,0.982,0.0,-1.6,0.0,100,8758,101.46,-8.7
02/09/2025 06:15:00 PM,0.982,3.9,0.982,0.0,-1.6,0.0,100,8752,101.45,-9.7
02/09/2025 06:30:00 PM,0.982,3.9,0.982,0.0,-1.6,0.0,100,8750,101.46,-10.0
02/09/2025 06:45:00 PM,0.982,3.9,0.982,0.0,-1.6,0.0,100,8748,101.48,-10.2
02/09/2025 07:00:00 PM,0.982,3.9,0.982,0.0,-1.6,0.0,100,8746,101.49,-10.5
02/09/2025 07:15:00 PM,0.982,3.9,0.982,0.0,-1.5,0.0,100,8746,101.49,-10.4
02/09/2025 07:30:00 PM,0.982,3.9,0.982,0.0,-1.5,0.0,100,8739,101.49,-10.8
02/09/2025 07:45:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8739,101.49,-11.0
02/09/2025 08:00:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8733,101.49,-10.6
02/09/2025 08:15:00 PM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8733,101.5,-10.2
02/09/2025 08:30:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8728,101.5,-9.8
02/09/2025 08:45:00 PM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8727,101.5,-9.2
02/09/2025 09:00:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8727,101.52,-8.4
02/09/2025 09:15:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8729,101.53,-7.6
02/09/2025 09:30:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8725,101.52,-7.1
02/09/2025 09:45:00 PM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8727,101.53,-6.7
02/09/2025 10:00:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8721,101.53,-6.4
02/09/2025 10:15:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8719,101.54,-6.0
02/09/2025 10:30:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8720,101.54,-5.7
02/09/2025 10:45:00 PM,0.979,3.9,0.979,0.0,-1.5,0.0,100,8716,101.54,-5.5
02/09/2025 11:00:00 PM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8717,101.55,-5.4
02/09/2025 11:15:00 PM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8715,101.57,-5.3
02/09/2025 11:30:00 PM,0.979,3.8,0.979,0.0,-1.5,0.0,100,8712,101.59,-5.2
02/09/2025 11:45:00 PM,0.977,3.8,0.977,0.0,-1.5,0.0,100,8712,101.61,-5.1
02/10/2025 12:00:00 AM,0.979,3.8,0.979,0.0,-1.5,0.0,100,8708,101.63,-5.0
02/10/2025 12:15:00 AM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8656,101.63,-4.8
02/10/2025 12:30:00 AM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8675,101.65,-4.7
02/10/2025 12:45:00 AM,0.975,3.9,0.975,0.0,-1.5,0.0,100,8676,101.68,-4.7
02/10/2025 01:00:00 AM,0.977,3.9,0.977,0.0,-1.5,0.0,100,8678,101.7,-4.5
02/10/2025 01:15:00 AM,0.975,3.9,0.975,0.0,-1.5,0.0,100,8676,101.71,-4.6
02/10/2025 01:30:00 AM,0.975,3.9,0.975,0.0,-1.6,0.0,100,8677,101.72,-4.7
02/10/2025 01:45:00 AM,0.977,3.9,0.977,0.0,-1.6,0.0,100,8675,101.75,-4.8
02/10/2025 02:00:00 AM,0.977,3.9,0.977,0.0,-1.6,0.0,100,8675,101.77,-4.9
