z6-18394,,Port1,Port1,Port1,Port2,Port2,Port2,Port7,Port7,Port8,Port8, 
# Records: 31913,,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  EC,raw  Water Temperature,raw  Weighted EC,raw  EC,raw  Water Temperature,raw  Weighted EC,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
02/09/2025 06:00:00 PM,87211,2992,5390,2992,0,4840,0,2100,8758,10146,4131,UTC-05:00
02/09/2025 06:15:00 PM,87212,2992,5390,2992,0,4840,0,2100,8752,10145,4030,UTC-05:00
02/09/2025 06:30:00 PM,87213,2992,5390,2992,0,4840,0,2100,8750,10146,4002,UTC-05:00
02/09/2025 06:45:00 PM,87214,2992,5390,2992,0,4840,0,2100,8748,10148,3975,UTC-05:00
02/09/2025 07:00:00 PM,87215,2992,5390,2992,0,4841,0,2100,8746,10149,3951,UTC-05:00
02/09/2025 07:15:00 PM,87216,2992,5390,2992,0,4850,0,2100,8746,10149,3960,UTC-05:00
02/09/2025 07:30:00 PM,87217,2992,5390,2992,0,4850,0,2100,8739,10149,3920,UTC-05:00
02/09/2025 07:45:00 PM,87218,2991,5390,2991,0,4850,0,2100,8739,10149,3901,UTC-05:00
02/09/2025 08:00:00 PM,87219,2991,5390,2991,0,4850,0,2100,8733,10149,3944,UTC-05:00
02/09/2025 08:15:00 PM,87220,2990,5390,2990,0,4850,0,2100,8733,10150,3977,UTC-05:00
02/09/2025 08:30:00 PM,87221,2991,5390,2991,0,4850,0,2100,8728,10150,4021,UTC-05:00
02/09/2025 08:45:00 PM,87222,2990,5390,2990,0,4850,0,2100,8727,10150,4084,UTC-05:00
02/09/2025 09:00:00 PM,87223,2991,5390,2991,0,4850,0,2100,8727,10152,4164,UTC-05:00
02/09/2025 09:15:00 PM,87224,2991,5390,2991,0,4850,0,2100,8729,10153,4241,UTC-05:00
02/09/2025 09:30:00 PM,87225,2991,5390,2991,0,4850,0,2100,8725,10152,4294,UTC-05:00
02/09/2025 09:45:00 PM,87226,2990,5390,2990,0,4850,0,2100,8727,10153,4332,UTC-05:00
02/09/2025 10:00:00 PM,87227,2991,5390,2991,0,4850,0,2100,8721,10153,4358,UTC-05:00
02/09/2025 10:15:00 PM,87228,2991,5390,2991,0,4850,0,2100,8719,10154,4398,UTC-05:00
02/09/2025 10:30:00 PM,87229,2991,5390,2991,0,4850,0,2100,8720,10154,4431,UTC-05:00
02/09/2025 10:45:00 PM,87230,2991,5389,2991,0,4850,0,2100,8716,10154,4450,UTC-05:00
02/09/2025 11:00:00 PM,87231,2990,5388,2990,0,4850,0,2100,8717,10155,4460,UTC-05:00
02/09/2025 11:15:00 PM,87232,2990,5387,2990,0,4850,0,2100,8715,10157,4474,UTC-05:00
02/09/2025 11:30:00 PM,87233,2991,5383,2991,0,4850,0,2100,8712,10159,4483,UTC-05:00
02/09/2025 11:45:00 PM,87234,2990,5383,2990,0,4850,0,2100,8712,10161,4491,UTC-05:00
02/10/2025 12:00:00 AM,87235,2991,5384,2991,0,4850,0,2100,8708,10163,4496,UTC-05:00
02/10/2025 12:15:00 AM,87237,2990,5387,2990,0,4850,0,2100,8656,10163,4521,UTC-05:00
02/10/2025 12:30:00 AM,87238,2990,5389,2990,0,4850,0,2100,8675,10165,4527,UTC-05:00
02/10/2025 12:45:00 AM,87239,2989,5390,2989,0,4850,0,2100,8676,10168,4533,UTC-05:00
02/10/2025 01:00:00 AM,87240,2990,5390,2990,0,4850,0,2100,8678,10170,4546,UTC-05:00
02/10/2025 01:15:00 AM,87241,2989,5390,2989,0,4848,0,2100,8676,10171,4543,UTC-05:00
02/10/2025 01:30:00 AM,87242,2989,5390,2989,0,4841,0,2100,8677,10172,4528,UTC-05:00
02/10/2025 01:45:00 AM,87243,2990,5390,2990,0,4840,0,2100,8675,10175,4523,UTC-05:00
02/10/2025 02:00:00 AM,87244,2990,5390,2990,0,4840,0,2100,8675,10177,4509,UTC-05:00
02/10/2025 02:15:00 AM,87245,2990,5390,2990,0,4840,0,2100,8672,10178,4491,UTC-05:00
02/10/2025 02:30:00 AM,87246,2990,5390,2990,0,4840,0,2100,8668,10179,4468,UTC-05:00
02/10/2025 02:45:00 AM,87247,2989,5390,2989,0,4840,0,2100,8669,10179,4449,UTC-05:00
02/10/2025 03:00:00 AM,87248,2990,5390,2990,0,4840,0,2100,8665,10180,4439,UTC-05:00
02/10/2025 03:15:00 AM,87249,2990,5390,2990,0,4840,0,2100,8665,10179,4432,UTC-05:00
02/10/2025 03:30:00 AM,87250,2989,5390,2989,0,4840,0,2100,8665,10181,4423,UTC-05:00
02/10/2025 03:45:00 AM,87251,2990,5390,2990,0,4840,0,2100,8662,10182,4408,UTC-05:00
02/10/2025 04:00:00 AM,87252,2989,5390,2989,0,4840,0,2100,8662,10184,4401,UTC-05:00
02/10/2025 04:15:00 AM,87253,2989,5390,2989,0,4840,0,2100,8659,10184,4387,UTC-05:00
02/10/2025 04:30:00 AM,87254,2989,5390,2989,0,4840,0,2100,8657,10186,4370,UTC-05:00
02/10/2025 04:45:00 AM,87255,2989,5390,2989,0,4840,0,2100,8655,10187,4368,UTC-05:00
02/10/2025 05:00:00 AM,87256,2989,5390,2989,0,4840,0,2100,8655,10187,4353,UTC-05:00
02/10/2025 05:15:00 AM,87257,2989,5390,2989,0,4839,0,2100,8652,10190,4326,UTC-05:00
02/10/2025 05:30:00 AM,87258,2989,5390,2989,0,4830,0,2100,8650,10191,4309,UTC-05:00
02/10/2025 05:45:00 AM,87259,2988,5390,2988,0,4830,0,2100,8649,10192,4285,UTC-05:00
02/10/2025 06:00:00 AM,87260,2989,5390,2989,0,4830,0,2100,8646,10191,4265,UTC-05:00
02/10/2025 06:15:00 AM,87261,2988,5390,2988,0,4830,0,2100,8632,10192,4253,UTC-05:00
02/10/2025 06:30:00 AM,87262,2988,5390,2988,0,4830,0,2100,8635,10194,4242,UTC-05:00
02/10/2025 06:45:00 AM,87263,2989,5390,2989,0,4830,0,2100,8633,10197,4230,UTC-05:00
02/10/2025 07:00:00 AM,87264,2988,5390,2988,0,4830,0,2100,8633,10200,4240,UTC-05:00
02/10/2025 07:15:00 AM,87265,2988,5390,2988,0,4830,0,2100,8629,10201,4253,UTC-05:00
02/10/2025 07:30:00 AM,87266,2989,5390,2989,0,4830,0,2100,8627,10202,4251,UTC-05:00
02/10/2025 07:45:00 AM,87267,2988,5390,2988,0,4830,0,2100,8627,10204,4240,UTC-05:00
02/10/2025 08:00:00 AM,87268,2989,5390,2989,0,4830,0,2100,8632,10208,4270,UTC-05:00
02/10/2025 08:15:00 AM,87269,2988,5390,2988,0,4830,0,2100,8633,10212,4283,UTC-05:00
02/10/2025 08:30:00 AM,87270,2988,5390,2988,0,4830,0,2100,8630,10215,4260,UTC-05:00
02/10/2025 08:45:00 AM,87271,2988,5388,2988,0,4830,0,2100,8646,10216,4255,UTC-05:00
02/10/2025 09:00:00 AM,87272,2988,5383,2988,0,4830,0,2100,8662,10217,4274,UTC-05:00
