z6-14353,Port7,Port7,Port8,Port8
# Records: 287,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/15/2022 03:15:00 PM,96,7767,101.47,30.7
07/15/2022 03:30:00 PM,100,7800,101.45,32.4
07/15/2022 03:45:00 PM,100,7823,101.43,34.0
07/15/2022 12:15:00 PM,100,7842,101.41,35.5
07/15/2022 12:30:00 PM,100,7863,101.39,36.2
07/15/2022 12:45:00 PM,100,7878,101.38,36.4
07/15/2022 01:00:00 PM,100,7893,101.38,36.9
07/15/2022 01:15:00 PM,100,7906,101.37,37.1
07/15/2022 01:30:00 PM,100,7914,101.36,37.4
07/15/2022 01:45:00 PM,100,7923,101.36,37.7
07/15/2022 02:00:00 PM,100,7929,101.36,37.8
07/15/2022 02:15:00 PM,100,7932,101.35,38.2
07/15/2022 02:30:00 PM,100,7935,101.34,38.0
07/15/2022 02:45:00 PM,100,7936,101.34,37.4
07/15/2022 03:00:00 PM,100,7937,101.34,35.6
07/15/2022 03:15:00 PM,100,7934,101.33,34.4
07/15/2022 03:30:00 PM,100,7934,101.34,32.4
07/15/2022 03:45:00 PM,100,7937,101.34,32.0
07/15/2022 04:00:00 PM,100,7934,101.34,32.0
07/15/2022 04:15:00 PM,100,7934,101.34,30.6
07/15/2022 04:30:00 PM,100,7934,101.33,29.7
07/15/2022 04:45:00 PM,100,7934,101.33,29.2
07/15/2022 05:00:00 PM,100,7935,101.33,29.0
07/15/2022 05:15:00 PM,100,7934,101.34,28.6
07/15/2022 05:30:00 PM,100,7936,101.32,27.8
07/15/2022 05:45:00 PM,100,7938,101.31,27.6
07/15/2022 06:00:00 PM,100,7939,101.31,27.9
07/15/2022 06:15:00 PM,100,7939,101.32,27.6
07/15/2022 06:30:00 PM,100,7936,101.32,27.1
07/15/2022 06:45:00 PM,100,7936,101.32,26.6
07/15/2022 07:00:00 PM,100,7939,101.3,26.1
07/15/2022 07:15:00 PM,100,7938,101.3,25.6
07/15/2022 07:30:00 PM,100,7936,101.31,25.2
07/15/2022 07:45:00 PM,100,7936,101.31,24.4
07/15/2022 08:00:00 PM,100,7935,101.32,23.3
07/15/2022 08:15:00 PM,100,7932,101.31,22.1
07/15/2022 08:30:00 PM,100,7930,101.32,20.9
07/15/2022 08:45:00 PM,100,7930,101.32,19.7
07/15/2022 09:00:00 PM,100,7931,101.32,18.7
07/15/2022 09:15:00 PM,100,7928,101.34,17.8
07/15/2022 09:30:00 PM,100,7926,101.36,17.0
07/15/2022 09:45:00 PM,100,7924,101.37,16.4
07/15/2022 10:00:00 PM,100,7926,101.39,15.9
07/15/2022 10:15:00 PM,100,7925,101.4,15.3
07/15/2022 10:30:00 PM,100,7925,101.41,14.9
07/15/2022 10:45:00 PM,100,7924,101.41,14.7
07/15/2022 11:00:00 PM,100,7923,101.41,14.5
07/15/2022 11:15:00 PM,100,7921,101.41,14.3
07/15/2022 11:30:00 PM,100,7923,101.42,14.1
07/15/2022 11:45:00 PM,100,7923,101.44,14.0
07/16/2022 12:00:00 AM,100,7922,101.45,13.8
07/16/2022 12:15:00 AM,100,7916,101.45,13.8
07/16/2022 12:30:00 AM,100,7919,101.45,14.0
07/16/2022 12:45:00 AM,100,7917,101.45,14.2
07/16/2022 01:00:00 AM,100,7917,101.45,14.2
07/16/2022 01:15:00 AM,100,7917,101.44,14.3
07/16/2022 01:30:00 AM,100,7918,101.43,14.3
07/16/2022 01:45:00 AM,100,7915,101.42,14.1
07/16/2022 02:00:00 AM,100,7918,101.43,13.8
07/16/2022 02:15:00 AM,100,7916,101.42,13.5
07/16/2022 02:30:00 AM,100,7919,101.43,13.3
07/16/2022 02:45:00 AM,100,7917,101.43,13.1
07/16/2022 03:00:00 AM,100,7916,101.44,12.9
07/16/2022 03:15:00 AM,100,7915,101.43,12.8
07/16/2022 03:30:00 AM,100,7914,101.44,12.6
07/16/2022 03:45:00 AM,100,7915,101.43,12.6
07/16/2022 04:00:00 AM,100,7916,101.42,12.5
07/16/2022 04:15:00 AM,100,7915,101.42,12.5
07/16/2022 04:30:00 AM,100,7915,101.43,12.4
07/16/2022 04:45:00 AM,100,7914,101.44,12.1
