z6-14354,,Port7,Port7,Port8,Port8, 
# Records: 567,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
07/15/2022 03:15:00 PM,2,2094,7750,10151,7751,Not Set
07/15/2022 03:30:00 PM,3,2097,7776,10149,7972,Not Set
07/15/2022 03:45:00 PM,4,2100,7803,10147,8176,Not Set
07/15/2022 04:00:00 PM,5,2100,7826,10146,8371,Not Set
07/15/2022 04:15:00 PM,6,2100,7847,10144,8501,Not Set
07/15/2022 09:45:00 AM,7,2100,7870,10143,8635,UTC-07:00
07/15/2022 10:00:00 AM,8,2100,7892,10143,8760,UTC-07:00
07/15/2022 01:15:00 PM,9,2100,7908,10143,8864,UTC-04:00
07/15/2022 01:30:00 PM,10,2100,7925,10142,8932,UTC-04:00
07/15/2022 01:45:00 PM,11,2100,7944,10142,8921,UTC-04:00
07/15/2022 02:00:00 PM,12,2100,7959,10141,8928,UTC-04:00
07/15/2022 02:15:00 PM,13,2100,7979,10140,9047,UTC-04:00
07/15/2022 02:30:00 PM,14,2100,7991,10140,9148,UTC-04:00
07/15/2022 02:45:00 PM,15,2100,7998,10140,9177,UTC-04:00
07/15/2022 03:00:00 PM,16,2100,8004,10140,9006,UTC-04:00
07/15/2022 03:15:00 PM,17,2100,8001,10139,8915,UTC-04:00
07/15/2022 03:30:00 PM,18,2100,8001,10139,8636,UTC-04:00
07/15/2022 03:45:00 PM,19,2100,8014,10139,8609,UTC-04:00
07/15/2022 04:00:00 PM,20,2100,8010,10139,8661,UTC-04:00
07/15/2022 04:15:00 PM,21,2100,8008,10139,8461,UTC-04:00
07/15/2022 04:30:00 PM,22,2100,8010,10137,8310,UTC-04:00
07/15/2022 04:45:00 PM,23,2100,8013,10137,8237,UTC-04:00
07/15/2022 05:00:00 PM,24,2100,8017,10137,8231,UTC-04:00
07/15/2022 05:15:00 PM,25,2100,8014,10138,8145,UTC-04:00
07/15/2022 05:30:00 PM,26,2100,8014,10136,8015,UTC-04:00
07/15/2022 05:45:00 PM,27,2100,8023,10134,8006,UTC-04:00
07/15/2022 06:00:00 PM,28,2100,8029,10135,8228,UTC-04:00
07/15/2022 06:15:00 PM,29,2100,8035,10135,8336,UTC-04:00
07/15/2022 06:30:00 PM,30,2100,8036,10136,8321,UTC-04:00
07/15/2022 06:45:00 PM,31,2100,8032,10135,8237,UTC-04:00
07/15/2022 07:00:00 PM,32,2100,8033,10133,8153,UTC-04:00
07/15/2022 07:15:00 PM,33,2100,8033,10133,8051,UTC-04:00
07/15/2022 07:30:00 PM,34,2100,8028,10134,7934,UTC-04:00
07/15/2022 07:45:00 PM,35,2100,8026,10134,7796,UTC-04:00
07/15/2022 08:00:00 PM,36,2100,8024,10134,7640,UTC-04:00
07/15/2022 08:15:00 PM,37,2100,8023,10134,7475,UTC-04:00
07/15/2022 08:30:00 PM,38,2100,8020,10134,7317,UTC-04:00
07/15/2022 08:45:00 PM,39,2100,8019,10134,7164,UTC-04:00
07/15/2022 09:00:00 PM,40,2100,8017,10134,7025,UTC-04:00
07/15/2022 09:15:00 PM,41,2100,8017,10136,6914,UTC-04:00
07/15/2022 09:30:00 PM,42,2100,8014,10138,6820,UTC-04:00
07/15/2022 09:45:00 PM,43,2100,8012,10139,6747,UTC-04:00
07/15/2022 10:00:00 PM,44,2100,8016,10140,6694,UTC-04:00
07/15/2022 10:15:00 PM,45,2100,8012,10142,6644,UTC-04:00
07/15/2022 10:30:00 PM,46,2100,8011,10143,6599,UTC-04:00
07/15/2022 10:45:00 PM,47,2100,8011,10143,6566,UTC-04:00
07/15/2022 11:00:00 PM,48,2100,8010,10142,6531,UTC-04:00
07/15/2022 11:15:00 PM,49,2100,8010,10142,6507,UTC-04:00
07/15/2022 11:30:00 PM,50,2100,8011,10144,6487,UTC-04:00
07/15/2022 11:45:00 PM,51,2100,8010,10146,6472,UTC-04:00
07/16/2022 12:00:00 AM,52,2100,8008,10146,6453,UTC-04:00
07/16/2022 12:15:00 AM,54,2100,7991,10147,6469,UTC-04:00
