z6-14348,,Port1,Port1,Port2,Port2,Port3,Port3,Port4,Port4,Port5,Port5,Port6,Port7,Port7,Port8,Port8, 
# Records: 769,,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,Unrecognized Sensor,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Water Content,raw  Soil Temperature,raw  Oxygen Concentration,raw  Internal Temperature,raw  Oxygen Concentration,raw  Internal Temperature,raw  Oxygen Concentration,raw  Internal Temperature,raw  Sensor Output,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
05/09/2023 02:15:00 PM,23081,30401,6357,65534,65534,0,6439,65534,65534,1197,6934,12672,2100,8602,10116,6671,UTC-04:00
05/09/2023 02:30:00 PM,23082,30395,6377,65534,65534,0,6458,65534,65534,1189,6952,12699,2100,8617,10115,6702,UTC-04:00
05/09/2023 02:45:00 PM,23083,30396,6397,65534,65534,0,6480,65534,65534,1174,6980,12663,2100,8630,10113,6717,UTC-04:00
05/09/2023 03:00:00 PM,23084,30393,6417,65534,65534,0,6498,65534,65534,1163,6994,12648,2100,8635,10113,6714,UTC-04:00
05/09/2023 03:15:00 PM,23085,30393,6435,65534,65534,0,6516,65534,65534,65534,65534,12664,2100,8633,10113,6716,UTC-04:00
05/09/2023 03:30:00 PM,23086,30396,6454,65534,65534,0,6533,65534,65534,1139,7021,12684,2100,8634,10112,6721,UTC-04:00
05/09/2023 03:45:00 PM,23087,30391,6471,65534,65534,0,6547,65534,65534,1133,7021,12690,2100,8630,10112,6715,UTC-04:00
05/09/2023 04:00:00 PM,23088,30393,6487,65534,65534,0,6560,65534,65534,65534,65534,12683,2100,8626,10111,6711,UTC-04:00
05/09/2023 04:15:00 PM,23089,30391,6501,65534,65534,0,6572,65534,65534,65534,65534,12719,2100,8618,10111,6702,UTC-04:00
05/09/2023 04:30:00 PM,23090,30393,6514,65534,65534,0,6583,65534,65534,65534,65534,12712,2100,8614,10112,6697,UTC-04:00
05/09/2023 04:45:00 PM,23091,30390,6524,65534,65534,0,6594,65534,65534,65534,65534,12677,2100,8599,10111,6680,UTC-04:00
05/09/2023 05:00:00 PM,23092,30389,6533,65534,65534,0,6599,65534,65534,65534,65534,12660,2100,8590,10111,6673,UTC-04:00
05/09/2023 05:15:00 PM,23093,30389,6542,65534,65534,0,6607,65534,65534,65534,65534,12662,2100,8577,10110,6665,UTC-04:00
05/09/2023 05:30:00 PM,23094,30385,6550,65534,65534,0,6611,65534,65534,65534,65534,12640,2100,8566,10111,6637,UTC-04:00
05/09/2023 05:45:00 PM,23095,30384,6557,65534,65534,0,6614,65534,65534,65534,65534,12638,2100,8554,10112,6615,UTC-04:00
05/09/2023 06:00:00 PM,23096,30387,6560,65534,65534,0,6614,65534,65534,65534,65534,12660,2100,8547,10111,6609,UTC-04:00
05/09/2023 06:15:00 PM,23097,30380,6563,65534,65534,0,6611,65534,65534,65534,65534,12668,2100,8541,10112,6598,UTC-04:00
05/09/2023 06:30:00 PM,23098,30374,6570,65534,65534,0,6607,65534,65534,65534,65534,12637,2100,8536,10113,6570,UTC-04:00
05/09/2023 06:45:00 PM,23099,30378,6567,65534,65534,0,6602,65534,65534,65534,65534,12683,2100,8526,10113,6551,UTC-04:00
05/09/2023 07:00:00 PM,23100,30374,6560,65534,65534,0,6596,65534,65534,65534,65534,12698,2100,8517,10115,6517,UTC-04:00
05/09/2023 07:15:00 PM,23101,30368,6560,65534,65534,0,6586,65534,65534,65534,65534,12694,2100,8510,10116,6473,UTC-04:00
05/09/2023 07:30:00 PM,23102,30362,6552,65534,65534,0,6575,65534,65534,65534,65534,12628,2100,8504,10117,6427,UTC-04:00
05/09/2023 07:45:00 PM,23103,30356,6547,65534,65534,0,6564,65534,65534,65534,65534,12665,2100,8496,10120,6358,UTC-04:00
05/09/2023 08:00:00 PM,23104,30356,6538,65534,65534,0,6549,65534,65534,65534,65534,12586,2100,8491,10121,6269,UTC-04:00
05/09/2023 08:15:00 PM,23105,30344,6529,65534,65534,0,6536,65534,65534,65534,65534,12537,2100,8484,10123,6129,UTC-04:00
05/09/2023 08:30:00 PM,23106,30339,6519,65534,65534,0,6523,65534,65534,1704,6519,12550,2100,8479,10124,5974,UTC-04:00
05/09/2023 08:45:00 PM,23107,30332,6508,65534,65534,0,6507,65534,65534,1147,6490,12540,2100,8475,10126,5828,UTC-04:00
05/09/2023 09:00:00 PM,23108,30319,6496,65534,65534,0,6490,65534,65534,1153,6467,12517,2100,8469,10128,5735,UTC-04:00
05/09/2023 09:15:00 PM,23109,30304,6484,65534,65534,0,6474,65534,65534,1162,6435,12569,2100,8464,10129,5632,UTC-04:00
05/09/2023 09:30:00 PM,23110,30293,6471,65534,65534,0,6457,65534,65534,1177,6413,12549,2100,8460,10129,5551,UTC-04:00
05/09/2023 09:45:00 PM,23111,30285,6457,65534,65534,0,6442,65534,65534,1211,6387,12553,2100,8456,10130,5481,UTC-04:00
05/09/2023 10:00:00 PM,23112,30278,6443,65534,65534,0,6426,65534,65534,1237,6362,12577,2100,8453,10131,5424,UTC-04:00
05/09/2023 10:15:00 PM,23113,30268,6427,65534,65534,0,6407,65534,65534,1265,6334,12523,2100,8445,10132,5364,UTC-04:00
05/09/2023 10:30:00 PM,23114,30251,6414,65534,65534,0,6389,65534,65534,1288,6312,12528,2100,8440,10132,5316,UTC-04:00
05/09/2023 10:45:00 PM,23115,30233,6398,65534,65534,0,6373,65534,65534,1305,6294,12551,2100,8438,10132,5280,UTC-04:00
05/09/2023 11:00:00 PM,23116,30209,6385,65534,65534,0,6356,65534,65534,1327,6267,12545,2100,8433,10133,5270,UTC-04:00
05/09/2023 11:15:00 PM,23117,30177,6369,65534,65534,0,6340,65534,65534,65534,65534,12515,2100,8434,10133,5236,UTC-04:00
05/09/2023 11:30:00 PM,23118,30149,6355,65534,65534,0,6321,65534,65534,65534,65534,12531,2100,8434,10134,5203,UTC-04:00
05/09/2023 11:45:00 PM,23119,30115,6341,65534,65534,0,6306,65534,65534,65534,65534,12541,2100,8432,10135,5168,UTC-04:00
05/10/2023 12:00:00 AM,23120,30063,6325,65534,65534,0,6290,65534,65534,65534,65534,12550,2100,8431,10136,5144,UTC-04:00
05/10/2023 12:15:00 AM,23122,30051,6311,65534,65534,0,6273,65534,65534,65534,65534,12514,2100,8390,10137,5159,UTC-04:00
05/10/2023 12:30:00 AM,23123,30038,6296,65534,65534,0,6256,65534,65534,65534,65534,12497,2100,8409,10138,5147,UTC-04:00
05/10/2023 12:45:00 AM,23124,30031,6283,65534,65534,0,6242,65534,65534,65534,65534,12535,2100,8403,10139,5117,UTC-04:00
05/10/2023 01:00:00 AM,23125,30020,6267,65534,65534,0,6225,65534,65534,65534,65534,12568,2100,8405,10139,5102,UTC-04:00
05/10/2023 01:15:00 AM,23126,30004,6255,65534,65534,0,6210,65534,65534,65534,65534,12545,2100,8404,10140,5089,UTC-04:00
05/10/2023 01:30:00 AM,23127,29993,6240,65534,65534,0,6194,65534,65534,65534,65534,12521,2100,8403,10141,5048,UTC-04:00
05/10/2023 01:45:00 AM,23128,29978,6225,65534,65534,0,6180,65534,65534,65534,65534,12574,2100,8399,10141,5025,UTC-04:00
05/10/2023 02:00:00 AM,23129,29968,6213,65534,65534,0,6165,65534,65534,65534,65534,12576,2100,8403,10141,5027,UTC-04:00
05/10/2023 02:15:00 AM,23130,29957,6197,65534,65534,0,6151,65534,65534,65534,65534,12550,2100,8400,10140,5043,UTC-04:00
05/10/2023 02:30:00 AM,23131,29950,6187,65534,65534,0,6137,65534,65534,65534,65534,12550,2100,8400,10140,5007,UTC-04:00
05/10/2023 02:45:00 AM,23132,29959,6175,65534,65534,0,6122,65534,65534,65534,65534,12550,2100,8398,10142,4989,UTC-04:00
05/10/2023 03:00:00 AM,23133,29961,6163,65534,65534,8,6109,65534,65534,65534,65534,12549,2100,8396,10142,4973,UTC-04:00
05/10/2023 03:15:00 AM,23134,29951,6149,65534,65534,16,6094,65534,65534,65534,65534,12556,2100,8396,10142,4951,UTC-04:00
05/10/2023 03:30:00 AM,23135,29953,6135,65534,65534,24,6082,65534,65534,65534,65534,12534,2100,8393,10143,4928,UTC-04:00
05/10/2023 03:45:00 AM,23136,29942,6124,65534,65534,32,6065,65534,65534,65534,65534,12550,2100,8395,10143,4922,UTC-04:00
05/10/2023 04:00:00 AM,23137,29943,6112,65534,65534,41,6052,65534,65534,65534,65534,12548,2100,8395,10144,4928,UTC-04:00
05/10/2023 04:15:00 AM,23138,29933,6099,65534,65534,49,6043,65534,65534,65534,65534,12539,2100,8390,10144,4897,UTC-04:00
05/10/2023 04:30:00 AM,23139,29929,6087,65534,65534,57,6028,65534,65534,65534,65534,12518,2100,8387,10145,4870,UTC-04:00
05/10/2023 04:45:00 AM,23140,29923,6075,65534,65534,66,6016,65534,65534,65534,65534,12504,2100,8387,10146,4867,UTC-04:00
05/10/2023 05:00:00 AM,23141,29911,6064,65534,65534,74,6003,65534,65534,65534,65534,12535,2100,8386,10146,4872,UTC-04:00
05/10/2023 05:15:00 AM,23142,29905,6051,65534,65534,82,5990,65534,65534,65534,65534,12529,2100,8384,10146,4872,UTC-04:00
05/10/2023 05:30:00 AM,23143,29896,6039,65534,65534,89,5978,65534,65534,65534,65534,12533,2100,8384,10146,4844,UTC-04:00
05/10/2023 05:45:00 AM,23144,29886,6028,65534,65534,97,5965,65534,65534,65534,65534,12551,2100,8380,10148,4831,UTC-04:00
05/10/2023 06:00:00 AM,23145,29882,6017,65534,65534,105,5953,65534,65534,65534,65534,12546,2100,8380,10149,4874,UTC-04:00
