z6-14353,,Port1,Port1,Port2,Port2,Port3,Port3,Port4,Port4,Port7,Port7,Port8,Port8, 
# Records: 191,,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,SO-411 Soil Oxygen Concentration,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Oxygen Concentration,raw  Internal Temperature,raw  Oxygen Concentration,raw  Internal Temperature,raw  Oxygen Concentration,raw  Internal Temperature,raw  Oxygen Concentration,raw  Internal Temperature,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
07/18/2022 11:00:00 AM,293,2158,7440,2226,7441,2214,7376,2231,7386,2100,8159,10059,7616,UTC-04:00
07/18/2022 11:15:00 AM,294,2255,7351,2302,7429,2310,7287,2308,7450,2100,8159,10060,7559,UTC-04:00
07/18/2022 11:30:00 AM,295,2078,7518,2083,7478,65534,65534,65534,65534,2100,8250,10060,7517,UTC-04:00
07/18/2022 11:45:00 AM,296,2069,7527,2074,7521,65534,65534,65534,65534,2100,8306,10059,7569,UTC-04:00
07/18/2022 12:00:00 PM,297,2065,7522,2068,7537,65534,65534,65534,65534,2100,8305,10057,7580,UTC-04:00
07/18/2022 12:15:00 PM,298,65534,65534,65534,65534,65534,65534,65534,65534,2100,8288,10055,7498,UTC-04:00
07/18/2022 12:30:00 PM,299,65534,65534,65534,65534,65534,65534,65534,65534,2100,8279,10053,7438,UTC-04:00
07/18/2022 12:45:00 PM,300,65534,65534,65534,65534,65534,65534,65534,65534,2100,8273,10050,7413,UTC-04:00
07/18/2022 01:00:00 PM,301,65534,65534,65534,65534,65534,65534,65534,65534,2100,8267,10048,7398,UTC-04:00
07/18/2022 01:15:00 PM,302,65534,65534,65534,65534,65534,65534,65534,65534,2100,8267,10044,7379,UTC-04:00
07/18/2022 01:30:00 PM,303,65534,65534,65534,65534,65534,65534,65534,65534,2100,8260,10040,7377,UTC-04:00
07/18/2022 01:45:00 PM,304,65534,65534,65534,65534,65534,65534,65534,65534,2100,8260,10034,7383,UTC-04:00
07/18/2022 02:00:00 PM,305,65534,65534,65534,65534,65534,65534,65534,65534,2100,8257,10029,7369,UTC-04:00
07/18/2022 02:15:00 PM,306,65534,65534,65534,65534,65534,65534,65534,65534,2100,8258,10023,7343,UTC-04:00
07/18/2022 02:30:00 PM,307,65534,65534,65534,65534,65534,65534,65534,65534,2100,8256,10018,7348,UTC-04:00
07/18/2022 02:45:00 PM,308,65534,65534,65534,65534,65534,65534,65534,65534,2100,8256,10015,7374,UTC-04:00
07/18/2022 03:00:00 PM,309,65534,65534,65534,65534,65534,65534,65534,65534,2100,8257,10014,7371,UTC-04:00
07/18/2022 03:15:00 PM,310,65534,65534,65534,65534,65534,65534,65534,65534,2100,8256,10011,7390,UTC-04:00
07/18/2022 03:30:00 PM,311,65534,65534,65534,65534,65534,65534,65534,65534,2100,8258,10010,7439,UTC-04:00
07/18/2022 03:45:00 PM,312,65534,65534,65534,65534,65534,65534,65534,65534,2100,8255,10009,7458,UTC-04:00
07/18/2022 04:00:00 PM,313,65534,65534,65534,65534,65534,65534,65534,65534,2100,8254,10007,7480,UTC-04:00
07/18/2022 04:15:00 PM,314,65534,65534,65534,65534,65534,65534,65534,65534,2100,8250,10005,7476,UTC-04:00
07/18/2022 04:30:00 PM,315,65534,65534,65534,65534,65534,65534,65534,65534,2100,8247,10001,7440,UTC-04:00
