z6-14355,Port7,Port7,Port8,Port8
# Records: 566,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/15/2022 03:15:00 PM,91,7732,101.55,22.6
07/15/2022 03:30:00 PM,94,7756,101.53,24.3
07/15/2022 03:45:00 PM,97,7783,101.51,26.0
07/15/2022 04:00:00 PM,100,7808,101.48,28.4
07/15/2022 12:30:00 PM,100,7828,101.46,30.7
07/15/2022 12:45:00 PM,100,7853,101.46,33.4
07/15/2022 01:00:00 PM,100,7874,101.45,35.6
07/15/2022 01:15:00 PM,100,7896,101.45,37.1
07/15/2022 01:30:00 PM,100,7910,101.44,38.0
07/15/2022 01:45:00 PM,100,7925,101.44,37.9
07/15/2022 02:00:00 PM,100,7946,101.44,37.8
07/15/2022 02:15:00 PM,100,7962,101.43,39.2
07/15/2022 02:30:00 PM,100,7972,101.43,40.4
07/15/2022 02:45:00 PM,100,7984,101.43,41.4
07/15/2022 03:00:00 PM,100,7990,101.43,40.0
07/15/2022 03:15:00 PM,100,7985,101.42,39.0
07/15/2022 03:30:00 PM,100,7982,101.42,36.2
07/15/2022 03:45:00 PM,100,7999,101.41,35.4
07/15/2022 04:00:00 PM,100,7997,101.41,35.8
07/15/2022 04:15:00 PM,100,7991,101.41,33.8
07/15/2022 04:30:00 PM,100,7995,101.39,32.3
07/15/2022 04:45:00 PM,100,8000,101.39,31.6
07/15/2022 05:00:00 PM,100,8002,101.39,31.6
07/15/2022 05:15:00 PM,100,7998,101.39,30.8
07/15/2022 05:30:00 PM,100,8001,101.38,29.6
07/15/2022 05:45:00 PM,100,8007,101.36,29.0
07/15/2022 06:00:00 PM,100,8017,101.36,30.1
07/15/2022 06:15:00 PM,100,8019,101.37,31.2
07/15/2022 06:30:00 PM,100,8020,101.38,31.5
07/15/2022 06:45:00 PM,100,8020,101.37,31.0
07/15/2022 07:00:00 PM,100,8017,101.35,30.3
07/15/2022 07:15:00 PM,100,8014,101.35,29.4
07/15/2022 07:30:00 PM,100,8011,101.35,28.5
07/15/2022 07:45:00 PM,100,8007,101.35,27.3
07/15/2022 08:00:00 PM,100,8006,101.36,25.9
07/15/2022 08:15:00 PM,100,8003,101.35,24.4
07/15/2022 08:30:00 PM,100,8000,101.35,22.9
07/15/2022 08:45:00 PM,100,8003,101.35,21.5
07/15/2022 09:00:00 PM,100,7998,101.36,20.2
07/15/2022 09:15:00 PM,100,7998,101.37,19.1
07/15/2022 09:30:00 PM,100,7992,101.39,18.2
07/15/2022 09:45:00 PM,100,7994,101.4,17.5
07/15/2022 10:00:00 PM,100,7994,101.41,16.9
07/15/2022 10:15:00 PM,100,7992,101.43,16.4
07/15/2022 10:30:00 PM,100,7991,101.44,16.0
07/15/2022 10:45:00 PM,100,7988,101.44,15.7
07/15/2022 11:00:00 PM,100,7990,101.43,15.4
07/15/2022 11:15:00 PM,100,7987,101.44,15.1
07/15/2022 11:30:00 PM,100,7990,101.45,14.9
07/15/2022 11:45:00 PM,100,7988,101.47,14.8
07/16/2022 12:00:00 AM,100,7988,101.47,14.6
07/16/2022 12:15:00 AM,100,7984,101.48,14.6
07/16/2022 12:30:00 AM,100,7984,101.48,14.7
07/16/2022 12:45:00 AM,100,7985,101.47,14.8
07/16/2022 01:00:00 AM,100,7985,101.48,14.8
07/16/2022 01:15:00 AM,100,7986,101.47,14.9
07/16/2022 01:30:00 AM,100,7983,101.46,14.9
07/16/2022 01:45:00 AM,100,7987,101.45,14.6
07/16/2022 02:00:00 AM,100,7983,101.45,14.3
07/16/2022 02:15:00 AM,100,7985,101.45,14.1
07/16/2022 02:30:00 AM,100,7984,101.46,13.9
07/16/2022 02:45:00 AM,100,7985,101.46,13.7
07/16/2022 03:00:00 AM,100,7984,101.46,13.6
07/16/2022 03:15:00 AM,100,7984,101.46,13.5
07/16/2022 03:30:00 AM,100,7983,101.46,13.4
07/16/2022 03:45:00 AM,100,7981,101.46,13.3
07/16/2022 04:00:00 AM,100,7984,101.45,13.2
07/16/2022 04:15:00 AM,100,7984,101.44,13.0
07/16/2022 04:30:00 AM,100,7981,101.45,13.0
07/16/2022 04:45:00 AM,100,7979,101.46,12.8
07/16/2022 05:00:00 AM,100,7982,101.45,12.6
07/16/2022 05:15:00 AM,100,7979,101.46,12.4
07/16/2022 05:30:00 AM,100,7981,101.46,12.4
07/16/2022 05:45:00 AM,100,7979,101.46,12.3
07/16/2022 06:00:00 AM,100,7979,101.45,12.4
07/16/2022 06:15:00 AM,100,7978,101.45,12.6
07/16/2022 06:30:00 AM,100,7975,101.44,12.8
07/16/2022 06:45:00 AM,100,7980,101.45,13.1
07/16/2022 07:00:00 AM,100,7979,101.46,13.5
07/16/2022 07:15:00 AM,100,7982,101.45,14.0
07/16/2022 07:30:00 AM,100,7979,101.46,14.6
07/16/2022 07:45:00 AM,100,7982,101.46,15.2
07/16/2022 08:00:00 AM,100,7986,101.45,15.9
07/16/2022 08:15:00 AM,100,7985,101.45,16.5
07/16/2022 08:30:00 AM,100,7988,101.44,17.1
07/16/2022 08:45:00 AM,100,7988,101.42,17.7
07/16/2022 09:00:00 AM,100,7992,101.42,18.3
07/16/2022 09:15:00 AM,100,7994,101.39,18.8
07/16/2022 09:30:00 AM,100,8000,101.38,19.3
07/16/2022 09:45:00 AM,100,7999,101.37,19.8
07/16/2022 10:00:00 AM,100,8005,101.35,20.4
07/16/2022 10:15:00 AM,100,8007,101.34,21.1
07/16/2022 10:30:00 AM,100,8009,101.33,21.8
07/16/2022 10:45:00 AM,100,8014,101.32,22.7
07/16/2022 11:00:00 AM,100,8017,101.3,23.6
07/16/2022 11:15:00 AM,100,8020,101.29,24.4
07/16/2022 11:30:00 AM,100,8025,101.28,25.5
07/16/2022 11:45:00 AM,100,8039,101.26,26.8
07/16/2022 12:00:00 PM,100,8045,101.25,28.2
07/16/2022 12:15:00 PM,100,8058,101.24,29.4
07/16/2022 12:30:00 PM,100,8065,101.22,31.3
07/16/2022 12:45:00 PM,100,8070,101.2,32.6
07/16/2022 01:00:00 PM,100,8077,101.18,33.1
07/16/2022 01:15:00 PM,100,8086,101.16,34.1
07/16/2022 01:30:00 PM,100,8095,101.14,35.8
07/16/2022 01:45:00 PM,100,8105,101.11,37.7
07/16/2022 02:00:00 PM,100,8106,101.1,39.2
07/16/2022 02:15:00 PM,100,8106,101.09,38.9
07/16/2022 02:30:00 PM,100,8096,101.08,37.6
07/16/2022 02:45:00 PM,100,8099,101.08,35.2
07/16/2022 03:00:00 PM,100,8112,101.06,35.1
07/16/2022 03:15:00 PM,100,8113,101.05,36.5
