z6-18472,Port2,Port2,Port2,Port2,Port3,Port3,Port3,Port4,Port4,Port4,Port7,Port7,Port8,Port8
# Records: 486,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,Battery,Battery,Barometer,Barometer
Timestamps, degree_C Air Temperature, kPa Vapor Pressure, kPa Atmospheric Pressure, kPa VPD, mS/cm EC, degree_C Water Temperature, mS/cm Weighted EC, mS/cm EC, degree_C Water Temperature, mS/cm Weighted EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/21/2022 01:45:00 PM,29.8,2.714,99.62,1.52,1.69,16.4,1.69,0.0,17.1,0.0,89,7710,99.5,30.3
07/21/2022 02:00:00 PM,30.5,2.712,99.61,1.66,1.694,16.4,1.694,0.0,17.1,0.0,89,7715,99.49,30.8
07/21/2022 10:30:00 AM,30.4,2.792,99.61,1.64,1.69,16.4,1.69,0.0,17.2,0.0,90,7718,99.49,31.0
07/21/2022 10:45:00 AM,30.9,2.786,99.6,1.76,1.69,16.4,1.69,0.0,17.3,0.0,91,7728,99.48,31.5
07/21/2022 11:00:00 AM,31.6,2.757,99.6,1.85,1.683,16.4,1.683,0.0,17.3,0.0,94,7752,99.48,32.6
07/21/2022 11:15:00 AM,31.7,2.906,99.61,1.9,1.69,16.4,1.69,0.0,17.2,0.0,96,7768,99.48,33.9
07/21/2022 11:30:00 AM,31.2,2.896,99.6,1.79,1.69,16.4,1.69,0.0,17.2,0.0,97,7776,99.48,34.2
07/21/2022 11:45:00 AM,32.6,2.911,99.59,2.0,1.694,16.4,1.694,0.0,17.2,0.0,100,7803,99.48,34.6
07/21/2022 12:00:00 PM,33.7,2.847,99.58,2.32,1.69,16.4,1.69,0.0,17.2,0.0,100,7830,99.46,36.1
07/21/2022 12:15:00 PM,33.9,2.857,99.56,2.37,1.698,16.4,1.698,0.0,17.2,0.0,100,7846,99.44,37.2
07/21/2022 12:30:00 PM,33.1,2.887,99.55,2.22,1.702,16.4,1.702,0.0,17.2,0.0,100,7857,99.43,37.3
07/21/2022 12:45:00 PM,32.1,2.942,99.52,1.93,1.687,16.4,1.687,0.0,17.1,0.0,100,7874,99.4,36.6
07/21/2022 01:00:00 PM,33.7,2.852,99.5,2.35,1.69,16.4,1.69,0.0,17.1,0.0,100,7889,99.38,37.3
07/21/2022 01:15:00 PM,34.2,2.841,99.49,2.45,1.694,16.5,1.694,0.0,17.1,0.0,100,7909,99.38,38.0
07/21/2022 01:30:00 PM,34.6,2.663,99.48,2.64,1.698,16.5,1.698,0.0,17.1,0.0,100,7927,99.36,39.0
07/21/2022 01:45:00 PM,34.2,2.705,99.46,2.54,1.694,16.5,1.694,0.0,17.1,0.0,100,7944,99.34,39.2
