z6-14345,Port1,Port1,Port2,Port2,Port7,Port7,Port8,Port8
# Records: 466,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m3/m3 Water Content, degree_C Soil Temperature, m3/m3 Water Content, degree_C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/15/2022 01:45:00 PM,0.319,28.9,0.333,30.8,100,7923,101.33,30.0
07/15/2022 02:00:00 PM,0.318,26.8,0.333,28.0,100,7945,101.33,30.2
07/15/2022 02:15:00 PM,0.318,26.3,0.332,26.9,100,7963,101.32,30.8
07/15/2022 02:30:00 PM,0.318,26.2,0.332,26.5,100,7979,101.31,31.1
07/15/2022 02:45:00 PM,0.318,26.4,0.332,26.5,100,7988,101.31,31.3
07/15/2022 03:00:00 PM,0.318,26.5,0.331,26.4,100,7997,101.31,30.6
07/15/2022 03:15:00 PM,0.318,26.6,0.331,26.2,100,7995,101.3,30.4
07/15/2022 03:30:00 PM,0.318,26.5,0.331,26.0,100,7996,101.3,29.8
07/15/2022 03:45:00 PM,0.318,26.5,0.331,25.9,100,8010,101.3,29.9
07/15/2022 04:00:00 PM,0.318,26.3,0.33,25.8,100,8007,101.3,29.8
07/15/2022 04:15:00 PM,0.318,26.2,0.33,25.6,100,8009,101.3,29.3
07/15/2022 04:30:00 PM,0.318,26.0,0.33,25.5,100,8009,101.29,28.8
07/15/2022 04:45:00 PM,0.318,25.8,0.33,25.3,100,8012,101.29,28.4
07/15/2022 05:00:00 PM,0.318,25.7,0.33,25.2,100,8016,101.29,28.6
07/15/2022 05:15:00 PM,0.318,25.6,0.33,25.1,100,8014,101.3,28.2
07/15/2022 05:30:00 PM,0.318,25.4,0.33,25.0,100,8013,101.28,27.6
07/15/2022 05:45:00 PM,0.318,25.3,0.33,24.9,100,8015,101.26,27.6
07/15/2022 06:00:00 PM,0.318,25.2,0.33,24.8,100,8015,101.26,28.2
07/15/2022 06:15:00 PM,0.318,25.0,0.33,24.7,100,8017,101.27,28.4
07/15/2022 06:30:00 PM,0.318,24.9,0.33,24.6,100,8013,101.28,28.3
07/15/2022 06:45:00 PM,0.317,24.8,0.33,24.5,100,8012,101.27,28.0
07/15/2022 07:00:00 PM,0.317,24.6,0.33,24.4,100,8010,101.26,27.6
07/15/2022 07:15:00 PM,0.317,24.5,0.329,24.3,100,8009,101.25,27.2
07/15/2022 07:30:00 PM,0.317,24.4,0.33,24.2,100,8010,101.26,26.9
07/15/2022 07:45:00 PM,0.317,24.3,0.33,24.0,100,8007,101.26,26.1
07/15/2022 08:00:00 PM,0.317,24.2,0.329,23.9,100,8006,101.26,25.2
07/15/2022 08:15:00 PM,0.317,24.0,0.33,23.8,100,8001,101.26,24.1
07/15/2022 08:30:00 PM,0.317,23.8,0.329,23.6,100,8002,101.26,22.4
07/15/2022 08:45:00 PM,0.317,23.7,0.329,23.4,100,8001,101.26,20.8
07/15/2022 09:00:00 PM,0.317,23.6,0.329,23.3,100,7998,101.27,19.5
07/15/2022 09:15:00 PM,0.317,23.4,0.329,23.1,100,7998,101.29,18.5
07/15/2022 09:30:00 PM,0.317,23.2,0.329,22.9,100,7996,101.3,17.5
07/15/2022 09:45:00 PM,0.317,23.1,0.329,22.8,100,7997,101.31,16.7
07/15/2022 10:00:00 PM,0.317,22.9,0.329,22.6,100,7996,101.33,16.1
07/15/2022 10:15:00 PM,0.317,22.8,0.329,22.4,100,7992,101.34,15.6
07/15/2022 10:30:00 PM,0.317,22.6,0.329,22.3,100,7997,101.35,15.3
07/15/2022 10:45:00 PM,0.317,22.5,0.329,22.1,100,7995,101.35,15.0
07/15/2022 11:00:00 PM,0.317,22.3,0.329,22.0,100,7994,101.35,14.7
07/15/2022 11:15:00 PM,0.317,22.2,0.329,21.9,100,7992,101.35,14.4
07/15/2022 11:30:00 PM,0.317,22.0,0.329,21.8,100,7992,101.36,14.2
07/15/2022 11:45:00 PM,0.317,21.9,0.329,21.6,100,7991,101.38,14.0
07/16/2022 12:00:00 AM,0.317,21.8,0.329,21.5,100,7989,101.39,13.9
07/16/2022 12:15:00 AM,0.317,21.7,0.329,21.4,100,7969,101.39,14.1
07/16/2022 12:30:00 AM,0.317,21.6,0.329,21.3,100,7979,101.39,14.3
07/16/2022 12:45:00 AM,0.317,21.4,0.329,21.2,100,7979,101.39,14.3
07/16/2022 01:00:00 AM,0.317,21.4,0.329,21.2,100,7983,101.39,14.3
07/16/2022 01:15:00 AM,0.317,21.2,0.329,21.1,100,7980,101.38,14.4
07/16/2022 01:30:00 AM,0.317,21.2,0.329,21.0,100,7981,101.37,14.3
07/16/2022 01:45:00 AM,0.317,21.1,0.329,20.9,100,7981,101.36,14.0
07/16/2022 02:00:00 AM,0.317,21.0,0.329,20.8,100,7982,101.37,13.7
07/16/2022 02:15:00 AM,0.317,20.9,0.329,20.8,100,7980,101.36,13.4
07/16/2022 02:30:00 AM,0.317,20.8,0.329,20.7,100,7980,101.37,13.2
07/16/2022 02:45:00 AM,0.317,20.7,0.329,20.6,100,7981,101.37,13.0
07/16/2022 03:00:00 AM,0.317,20.6,0.329,20.5,100,7979,101.37,13.0
07/16/2022 03:15:00 AM,0.317,20.5,0.329,20.4,100,7979,101.37,12.8
07/16/2022 03:30:00 AM,0.317,20.5,0.329,20.3,100,7979,101.37,12.7
07/16/2022 03:45:00 AM,0.317,20.4,0.329,20.3,100,7980,101.37,12.6
07/16/2022 04:00:00 AM,0.317,20.3,0.329,20.2,100,7979,101.36,12.5
07/16/2022 04:15:00 AM,0.317,20.2,0.329,20.1,100,7978,101.36,12.4
07/16/2022 04:30:00 AM,0.317,20.1,0.329,20.0,100,7978,101.36,12.4
07/16/2022 04:45:00 AM,0.317,20.0,0.329,20.0,100,7977,101.37,12.2
