z6-14347,Port7,Port7,Port8,Port8
# Records: 480,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/15/2022 03:15:00 PM,92,7740,101.48,32.1
07/15/2022 03:30:00 PM,95,7766,101.46,32.8
07/15/2022 03:45:00 PM,98,7791,101.45,34.0
07/15/2022 04:00:00 PM,100,7814,101.43,35.4
07/15/2022 12:30:00 PM,100,7834,101.41,36.1
07/15/2022 12:45:00 PM,100,7858,101.41,36.8
07/15/2022 01:00:00 PM,100,7878,101.4,37.5
07/15/2022 01:15:00 PM,100,7896,101.4,38.0
07/15/2022 01:30:00 PM,100,7912,101.39,38.6
07/15/2022 01:45:00 PM,100,7929,101.39,39.2
07/15/2022 02:00:00 PM,100,7945,101.39,39.7
07/15/2022 02:15:00 PM,100,7957,101.38,40.8
07/15/2022 02:30:00 PM,100,7972,101.38,41.1
07/15/2022 02:45:00 PM,100,7979,101.38,41.0
07/15/2022 03:00:00 PM,100,7987,101.37,39.2
07/15/2022 03:15:00 PM,100,7987,101.36,38.2
07/15/2022 03:30:00 PM,100,7985,101.36,35.8
07/15/2022 03:45:00 PM,100,7997,101.36,35.7
07/15/2022 04:00:00 PM,100,7998,101.36,35.9
07/15/2022 04:15:00 PM,100,7995,101.36,34.0
07/15/2022 04:30:00 PM,100,7997,101.34,32.8
07/15/2022 04:45:00 PM,100,8001,101.35,32.2
07/15/2022 05:00:00 PM,100,8005,101.35,32.2
07/15/2022 05:15:00 PM,100,8003,101.35,31.3
07/15/2022 05:30:00 PM,100,8000,101.34,30.0
07/15/2022 05:45:00 PM,100,8014,101.32,30.0
07/15/2022 06:00:00 PM,100,8019,101.32,32.2
07/15/2022 06:15:00 PM,100,8021,101.33,33.6
07/15/2022 06:30:00 PM,100,8022,101.33,33.9
07/15/2022 06:45:00 PM,100,8022,101.33,33.4
07/15/2022 07:00:00 PM,100,8024,101.31,32.8
07/15/2022 07:15:00 PM,100,8020,101.3,32.0
07/15/2022 07:30:00 PM,100,8019,101.31,30.8
07/15/2022 07:45:00 PM,100,8017,101.31,28.9
07/15/2022 08:00:00 PM,100,8014,101.31,26.8
07/15/2022 08:15:00 PM,100,8014,101.31,24.8
07/15/2022 08:30:00 PM,100,8012,101.31,22.9
07/15/2022 08:45:00 PM,100,8011,101.32,21.3
07/15/2022 09:00:00 PM,100,8008,101.32,19.8
07/15/2022 09:15:00 PM,100,8007,101.34,18.6
07/15/2022 09:30:00 PM,100,8006,101.36,17.6
07/15/2022 09:45:00 PM,100,8003,101.37,16.8
07/15/2022 10:00:00 PM,100,8003,101.39,16.3
07/15/2022 10:15:00 PM,100,8000,101.4,15.8
07/15/2022 10:30:00 PM,100,8003,101.41,15.4
07/15/2022 10:45:00 PM,100,8002,101.41,15.1
07/15/2022 11:00:00 PM,100,8004,101.41,14.8
07/15/2022 11:15:00 PM,100,8002,101.41,14.5
07/15/2022 11:30:00 PM,100,8004,101.42,14.4
07/15/2022 11:45:00 PM,100,8001,101.44,14.3
07/16/2022 12:00:00 AM,100,8002,101.45,14.1
07/16/2022 12:15:00 AM,100,7997,101.45,14.2
07/16/2022 12:30:00 AM,100,7996,101.45,14.4
07/16/2022 12:45:00 AM,100,7995,101.44,14.5
07/16/2022 01:00:00 AM,100,7998,101.45,14.5
07/16/2022 01:15:00 AM,100,7996,101.44,14.6
07/16/2022 01:30:00 AM,100,7995,101.43,14.6
07/16/2022 01:45:00 AM,100,7994,101.42,14.2
07/16/2022 02:00:00 AM,100,7997,101.43,13.8
07/16/2022 02:15:00 AM,100,7995,101.42,13.5
07/16/2022 02:30:00 AM,100,7995,101.43,13.4
07/16/2022 02:45:00 AM,100,7994,101.43,13.2
07/16/2022 03:00:00 AM,100,7993,101.43,13.0
07/16/2022 03:15:00 AM,100,7994,101.43,12.9
07/16/2022 03:30:00 AM,100,7996,101.43,12.8
07/16/2022 03:45:00 AM,100,7993,101.43,12.7
07/16/2022 04:00:00 AM,100,7993,101.42,12.7
07/16/2022 04:15:00 AM,100,7991,101.42,12.6
07/16/2022 04:30:00 AM,100,7993,101.42,12.5
07/16/2022 04:45:00 AM,100,7994,101.43,12.2
07/16/2022 05:00:00 AM,100,7994,101.42,12.0
07/16/2022 05:15:00 AM,100,7990,101.43,11.8
07/16/2022 05:30:00 AM,100,7992,101.43,11.8
07/16/2022 05:45:00 AM,100,7992,101.43,11.8
07/16/2022 06:00:00 AM,100,7992,101.42,12.1
07/16/2022 06:15:00 AM,100,7991,101.42,12.2
07/16/2022 06:30:00 AM,100,7991,101.41,12.5
07/16/2022 06:45:00 AM,100,7991,101.42,12.9
07/16/2022 07:00:00 AM,100,7991,101.43,13.4
07/16/2022 07:15:00 AM,100,7990,101.42,14.0
07/16/2022 07:30:00 AM,100,7994,101.42,14.7
07/16/2022 07:45:00 AM,100,7995,101.42,15.3
07/16/2022 08:00:00 AM,100,7994,101.41,16.0
07/16/2022 08:15:00 AM,100,8000,101.41,16.7
07/16/2022 08:30:00 AM,100,8001,101.4,17.4
07/16/2022 08:45:00 AM,100,8004,101.38,18.2
07/16/2022 09:00:00 AM,100,8007,101.37,19.0
07/16/2022 09:15:00 AM,100,8007,101.34,19.8
07/16/2022 09:30:00 AM,100,8013,101.33,20.5
07/16/2022 09:45:00 AM,100,8018,101.32,21.4
07/16/2022 10:00:00 AM,100,8025,101.3,22.4
07/16/2022 10:15:00 AM,100,8034,101.29,23.5
07/16/2022 10:30:00 AM,100,8043,101.27,25.0
07/16/2022 10:45:00 AM,100,8052,101.26,27.1
07/16/2022 11:00:00 AM,100,8061,101.24,29.2
07/16/2022 11:15:00 AM,100,8071,101.23,31.1
07/16/2022 11:30:00 AM,100,8079,101.22,33.2
07/16/2022 11:45:00 AM,100,8083,101.21,34.6
07/16/2022 12:00:00 PM,100,8087,101.2,35.0
07/16/2022 12:15:00 PM,100,8096,101.19,35.2
07/16/2022 12:30:00 PM,100,8099,101.18,36.2
07/16/2022 12:45:00 PM,100,8100,101.16,36.7
07/16/2022 01:00:00 PM,100,8108,101.13,36.4
07/16/2022 01:15:00 PM,100,8113,101.11,37.1
07/16/2022 01:30:00 PM,100,8121,101.09,38.5
07/16/2022 01:45:00 PM,100,8128,101.07,40.0
07/16/2022 02:00:00 PM,100,8127,101.05,41.0
07/16/2022 02:15:00 PM,100,8124,101.04,40.4
07/16/2022 02:30:00 PM,100,8121,101.04,39.0
07/16/2022 02:45:00 PM,100,8123,101.03,36.5
07/16/2022 03:00:00 PM,100,8134,101.01,36.7
07/16/2022 03:15:00 PM,100,8137,101.0,38.0
07/16/2022 03:30:00 PM,100,8142,100.98,38.4
07/16/2022 03:45:00 PM,100,8140,100.96,38.6
07/16/2022 04:00:00 PM,100,8133,100.96,36.5
07/16/2022 04:15:00 PM,100,8130,100.95,34.4
07/16/2022 04:30:00 PM,100,8127,100.93,33.0
07/16/2022 04:45:00 PM,100,8124,100.91,32.0
07/16/2022 05:00:00 PM,100,8123,100.89,31.1
07/16/2022 05:15:00 PM,100,8129,100.87,31.0
07/16/2022 05:30:00 PM,100,8138,100.84,33.0
07/16/2022 05:45:00 PM,100,8138,100.81,35.0
07/16/2022 06:00:00 PM,100,8138,100.8,34.6
07/16/2022 06:15:00 PM,100,8138,100.79,34.5
07/16/2022 06:30:00 PM,100,8135,100.78,35.2
07/16/2022 06:45:00 PM,100,8132,100.78,34.0
07/16/2022 07:00:00 PM,100,8133,100.78,34.1
07/16/2022 07:15:00 PM,100,8131,100.79,33.7
07/16/2022 07:30:00 PM,100,8129,100.79,32.3
07/16/2022 07:45:00 PM,100,8124,100.8,30.0
07/16/2022 08:00:00 PM,100,8120,100.8,27.8
07/16/2022 08:15:00 PM,100,8118,100.81,26.2
07/16/2022 08:30:00 PM,100,8118,100.83,24.8
07/16/2022 08:45:00 PM,100,8117,100.84,23.4
07/16/2022 09:00:00 PM,100,8112,100.87,22.4
07/16/2022 09:15:00 PM,100,8115,100.89,21.7
07/16/2022 09:30:00 PM,100,8111,100.92,21.2
07/16/2022 09:45:00 PM,100,8110,100.94,20.6
07/16/2022 10:00:00 PM,100,8108,100.96,20.0
07/16/2022 10:15:00 PM,100,8107,100.98,19.4
07/16/2022 10:30:00 PM,100,8104,100.99,18.9
07/16/2022 10:45:00 PM,100,8106,100.99,18.4
07/16/2022 11:00:00 PM,100,8106,100.99,17.9
07/16/2022 11:15:00 PM,100,8106,100.99,17.6
07/16/2022 11:30:00 PM,100,8104,100.99,17.4
07/16/2022 11:45:00 PM,100,8101,100.99,17.1
07/17/2022 12:00:00 AM,100,8102,101.0,16.9
07/17/2022 12:15:00 AM,100,8099,101.01,16.9
07/17/2022 12:30:00 AM,100,8098,101.02,16.8
07/17/2022 12:45:00 AM,100,8098,101.01,16.6
07/17/2022 01:00:00 AM,100,8099,101.01,16.3
07/17/2022 01:15:00 AM,100,8099,101.02,16.0
07/17/2022 01:30:00 AM,100,8094,101.02,15.8
07/17/2022 01:45:00 AM,100,8096,101.01,15.6
07/17/2022 02:00:00 AM,100,8096,101.0,15.4
07/17/2022 02:15:00 AM,100,8094,100.99,15.3
07/17/2022 02:30:00 AM,100,8094,100.99,15.1
07/17/2022 02:45:00 AM,100,8094,101.0,15.0
07/17/2022 03:00:00 AM,100,8094,101.01,14.9
07/17/2022 03:15:00 AM,100,8095,101.02,14.8
07/17/2022 03:30:00 AM,100,8094,101.0,14.7
07/17/2022 03:45:00 AM,100,8094,101.0,14.6
07/17/2022 04:00:00 AM,100,8093,101.0,14.4
07/17/2022 04:15:00 AM,100,8093,101.0,14.2
07/17/2022 04:30:00 AM,100,8091,100.99,14.0
07/17/2022 04:45:00 AM,100,8091,100.99,13.9
07/17/2022 05:00:00 AM,100,8092,100.99,13.8
07/17/2022 05:15:00 AM,100,8087,101.0,13.7
07/17/2022 05:30:00 AM,100,8091,101.01,13.6
07/17/2022 05:45:00 AM,100,8089,101.01,13.5
07/17/2022 06:00:00 AM,100,8088,101.01,13.5
07/17/2022 06:15:00 AM,100,8086,101.02,13.6
07/17/2022 06:30:00 AM,100,8087,101.04,13.7
07/17/2022 06:45:00 AM,100,8089,101.06,14.0
07/17/2022 07:00:00 AM,100,8089,101.07,14.4
07/17/2022 07:15:00 AM,100,8086,101.07,15.0
07/17/2022 07:30:00 AM,100,8087,101.07,15.7
07/17/2022 07:45:00 AM,100,8087,101.07,16.5
07/17/2022 08:00:00 AM,100,8088,101.07,17.3
07/17/2022 08:15:00 AM,100,8083,101.08,18.1
07/17/2022 08:30:00 AM,100,8086,101.07,18.8
07/17/2022 08:45:00 AM,100,8088,101.06,19.5
07/17/2022 09:00:00 AM,100,8088,101.06,20.2
07/17/2022 09:15:00 AM,100,8089,101.05,20.8
07/17/2022 09:30:00 AM,100,8092,101.04,21.4
07/17/2022 09:45:00 AM,100,8094,101.03,22.1
07/17/2022 10:00:00 AM,100,8105,101.03,23.0
07/17/2022 10:15:00 AM,100,8117,101.01,24.6
07/17/2022 10:30:00 AM,100,8129,100.99,26.6
07/17/2022 10:45:00 AM,100,8140,100.98,29.0
07/17/2022 11:00:00 AM,100,8150,100.97,31.4
07/17/2022 11:15:00 AM,100,8159,100.97,33.7
07/17/2022 11:30:00 AM,100,8168,100.96,35.3
07/17/2022 11:45:00 AM,100,8175,100.96,36.9
07/17/2022 12:00:00 PM,100,8178,100.96,38.0
07/17/2022 12:15:00 PM,100,8182,100.95,38.8
07/17/2022 12:30:00 PM,100,8186,100.93,39.9
07/17/2022 12:45:00 PM,100,8192,100.93,40.9
07/17/2022 01:00:00 PM,100,8194,100.92,41.4
07/17/2022 01:15:00 PM,100,8193,100.91,41.7
07/17/2022 01:30:00 PM,100,8196,100.91,42.6
07/17/2022 01:45:00 PM,100,8195,100.89,43.0
07/17/2022 02:00:00 PM,100,8199,100.88,43.3
07/17/2022 02:15:00 PM,100,8197,100.87,43.4
07/17/2022 02:30:00 PM,100,8199,100.87,43.9
07/17/2022 02:45:00 PM,100,8197,100.87,44.7
07/17/2022 03:00:00 PM,100,8197,100.86,45.3
07/17/2022 03:15:00 PM,100,8194,100.85,45.9
07/17/2022 03:30:00 PM,100,8191,100.85,46.0
07/17/2022 03:45:00 PM,100,8191,100.83,46.2
07/17/2022 04:00:00 PM,100,8191,100.82,46.2
07/17/2022 04:15:00 PM,100,8187,100.81,46.0
07/17/2022 04:30:00 PM,100,8186,100.81,45.8
07/17/2022 04:45:00 PM,100,8181,100.8,45.4
07/17/2022 05:00:00 PM,100,8180,100.81,45.2
07/17/2022 05:15:00 PM,100,8173,100.8,45.0
07/17/2022 05:30:00 PM,100,8175,100.78,44.9
07/17/2022 05:45:00 PM,100,8171,100.76,44.2
07/17/2022 06:00:00 PM,100,8168,100.75,42.8
07/17/2022 06:15:00 PM,100,8166,100.74,41.6
07/17/2022 06:30:00 PM,100,8163,100.73,40.8
07/17/2022 06:45:00 PM,100,8156,100.73,39.8
07/17/2022 07:00:00 PM,100,8155,100.72,38.7
07/17/2022 07:15:00 PM,100,8147,100.72,37.0
07/17/2022 07:30:00 PM,100,8143,100.72,35.2
07/17/2022 07:45:00 PM,100,8138,100.73,32.9
07/17/2022 08:00:00 PM,100,8133,100.73,30.5
07/17/2022 08:15:00 PM,100,8130,100.73,28.4
07/17/2022 08:30:00 PM,100,8128,100.76,26.4
07/17/2022 08:45:00 PM,100,8128,100.77,24.7
07/17/2022 09:00:00 PM,100,8124,100.77,23.2
07/17/2022 09:15:00 PM,100,8122,100.79,22.0
07/17/2022 09:30:00 PM,100,8121,100.81,21.0
07/17/2022 09:45:00 PM,100,8118,100.82,20.2
07/17/2022 10:00:00 PM,100,8119,100.82,19.6
07/17/2022 10:15:00 PM,100,8115,100.84,19.1
07/17/2022 10:30:00 PM,100,8115,100.85,18.6
07/17/2022 10:45:00 PM,100,8115,100.86,18.2
07/17/2022 11:00:00 PM,100,8114,100.87,17.8
07/17/2022 11:15:00 PM,100,8112,100.88,17.6
07/17/2022 11:30:00 PM,100,8115,100.88,17.3
07/17/2022 11:45:00 PM,100,8113,100.89,17.0
07/18/2022 12:00:00 AM,100,8112,100.89,16.8
07/18/2022 12:15:00 AM,100,8107,100.89,16.6
07/18/2022 12:30:00 AM,100,8108,100.9,16.4
07/18/2022 12:45:00 AM,100,8107,100.89,16.2
07/18/2022 01:00:00 AM,100,8108,100.89,16.1
07/18/2022 01:15:00 AM,100,8108,100.89,16.0
07/18/2022 01:30:00 AM,100,8106,100.88,15.9
07/18/2022 01:45:00 AM,100,8105,100.88,15.8
07/18/2022 02:00:00 AM,100,8108,100.88,15.8
07/18/2022 02:15:00 AM,100,8106,100.88,15.8
07/18/2022 02:30:00 AM,100,8106,100.87,15.8
07/18/2022 02:45:00 AM,100,8105,100.87,15.8
07/18/2022 03:00:00 AM,100,8105,100.86,15.8
07/18/2022 03:15:00 AM,100,8105,100.86,15.8
07/18/2022 03:30:00 AM,100,8105,100.86,15.8
07/18/2022 03:45:00 AM,100,8103,100.85,15.8
07/18/2022 04:00:00 AM,100,8105,100.84,15.8
07/18/2022 04:15:00 AM,100,8104,100.84,15.9
07/18/2022 04:30:00 AM,100,8103,100.84,15.9
07/18/2022 04:45:00 AM,100,8102,100.83,15.9
07/18/2022 05:00:00 AM,100,8102,100.83,15.9
07/18/2022 05:15:00 AM,100,8101,100.83,16.0
07/18/2022 05:30:00 AM,100,8102,100.83,16.0
07/18/2022 05:45:00 AM,100,8102,100.84,16.3
07/18/2022 06:00:00 AM,100,8102,100.83,16.5
07/18/2022 06:15:00 AM,100,8103,100.83,16.8
07/18/2022 06:30:00 AM,100,8102,100.84,17.1
07/18/2022 06:45:00 AM,100,8096,100.84,17.4
07/18/2022 07:00:00 AM,100,8102,100.83,17.9
07/18/2022 07:15:00 AM,100,8102,100.82,18.5
07/18/2022 07:30:00 AM,100,8099,100.8,19.2
07/18/2022 07:45:00 AM,100,8105,100.8,20.0
07/18/2022 08:00:00 AM,100,8103,100.79,20.8
07/18/2022 08:15:00 AM,100,8106,100.77,21.3
07/18/2022 08:30:00 AM,100,8105,100.76,21.8
07/18/2022 08:45:00 AM,100,8109,100.75,22.4
07/18/2022 09:00:00 AM,100,8108,100.74,22.9
07/18/2022 09:15:00 AM,100,8108,100.71,23.4
07/18/2022 09:30:00 AM,100,8109,100.69,23.5
07/18/2022 09:45:00 AM,100,8112,100.69,23.7
07/18/2022 10:00:00 AM,100,8117,100.67,24.3
07/18/2022 10:15:00 AM,100,8118,100.66,25.0
07/18/2022 10:30:00 AM,100,8120,100.65,25.2
07/18/2022 10:45:00 AM,100,8123,100.63,25.5
07/18/2022 11:00:00 AM,100,8121,100.62,25.6
07/18/2022 11:15:00 AM,100,8122,100.62,25.1
07/18/2022 11:30:00 AM,100,8122,100.62,24.6
07/18/2022 11:45:00 AM,100,8121,100.61,24.3
07/18/2022 12:00:00 PM,100,8121,100.6,24.1
07/18/2022 12:15:00 PM,100,8124,100.58,23.8
07/18/2022 12:30:00 PM,100,8121,100.55,23.6
07/18/2022 12:45:00 PM,100,8120,100.53,23.7
07/18/2022 01:00:00 PM,100,8119,100.5,23.7
07/18/2022 01:15:00 PM,100,8124,100.47,23.6
07/18/2022 01:30:00 PM,100,8121,100.42,23.6
07/18/2022 01:45:00 PM,100,8120,100.36,23.7
07/18/2022 02:00:00 PM,100,8122,100.31,23.6
07/18/2022 02:15:00 PM,100,8123,100.26,23.4
07/18/2022 02:30:00 PM,100,8127,100.2,23.4
07/18/2022 02:45:00 PM,100,8127,100.18,23.7
07/18/2022 03:00:00 PM,100,8128,100.16,23.7
07/18/2022 03:15:00 PM,100,8134,100.14,23.9
07/18/2022 03:30:00 PM,100,8138,100.12,24.3
07/18/2022 03:45:00 PM,100,8136,100.11,24.6
07/18/2022 04:00:00 PM,100,8137,100.09,24.8
07/18/2022 04:15:00 PM,100,8136,100.07,24.7
07/18/2022 04:30:00 PM,100,8137,100.03,24.4
07/18/2022 04:45:00 PM,100,8135,99.99,24.1
07/18/2022 05:00:00 PM,100,8134,99.96,24.0
07/18/2022 05:15:00 PM,100,8134,99.93,24.0
07/18/2022 05:30:00 PM,100,8135,99.91,24.2
07/18/2022 05:45:00 PM,100,8133,99.88,24.2
