z6-14348,,Port7,Port7,Port8,Port8, 
# Records: 486,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
07/15/2022 03:15:00 PM,2,2093,7743,10150,8173,Not Set
07/15/2022 03:30:00 PM,3,2093,7747,10148,8233,Not Set
07/15/2022 03:45:00 PM,4,2093,7748,10147,8349,Not Set
07/15/2022 04:00:00 PM,5,2093,7748,10145,8488,Not Set
07/15/2022 12:30:00 PM,6,2094,7750,10143,8567,UTC-04:00
07/15/2022 12:45:00 PM,7,2093,7749,10142,8640,UTC-04:00
07/15/2022 01:00:00 PM,8,2094,7750,10142,8728,UTC-04:00
07/15/2022 01:15:00 PM,9,2093,7749,10141,8807,UTC-04:00
07/15/2022 01:30:00 PM,10,2094,7754,10141,8858,UTC-04:00
07/15/2022 01:45:00 PM,11,2093,7748,10141,8887,UTC-04:00
07/15/2022 02:00:00 PM,12,2094,7753,10140,8921,UTC-04:00
07/15/2022 02:15:00 PM,13,2094,7752,10139,9026,UTC-04:00
07/15/2022 02:30:00 PM,14,2094,7754,10139,9093,UTC-04:00
07/15/2022 02:45:00 PM,15,2094,7753,10139,9085,UTC-04:00
07/15/2022 03:00:00 PM,16,2094,7751,10139,8916,UTC-04:00
07/15/2022 03:15:00 PM,17,2094,7751,10138,8825,UTC-04:00
07/15/2022 03:30:00 PM,18,2094,7750,10138,8563,UTC-04:00
07/15/2022 03:45:00 PM,19,2093,7747,10138,8548,UTC-04:00
07/15/2022 04:00:00 PM,20,2093,7748,10138,8586,UTC-04:00
07/15/2022 04:15:00 PM,21,2093,7747,10138,8395,UTC-04:00
07/15/2022 04:30:00 PM,22,2093,7744,10137,8261,UTC-04:00
07/15/2022 04:45:00 PM,23,2093,7744,10137,8197,UTC-04:00
07/15/2022 05:00:00 PM,24,2093,7743,10137,8188,UTC-04:00
07/15/2022 05:15:00 PM,25,2092,7740,10137,8111,UTC-04:00
