# zentra z6 data loggers for UVM DSWR project. ,,,,,,,,,
# updated 2025-07-31
Site,Plot,Serial,Port_1,Port_2,Port_3,Port_4,Port_5,Port_6,Notes
VB,DAF low,z6-14354,TEROS 11,TEROS 11,SO-411,SO-411,,,
VB,DAF high,z6-14355,TEROS 11,TEROS 11,SO-411,SO-411,,,
VB,west high,z6-14345,TEROS 11,TEROS 11,SO-411,SO-411,,,
VB,west low,z6-14348,TEROS 11,,SO-411,,SO-411,TEROS 11,Port 2 and 4 Don't Work
VB,east high,z6-14347,TEROS 11,TEROS 11,SO-411,SO-411,,,
VB,east low,z6-14353,TEROS 11,TEROS 11,SO-411,SO-411,,,
VB,rain gauge,z6-18472,ECRN-100,ATMOS 14,,,,,
VB,west tile,z6-18472,,,ES-2,,,,
VB,east tile,z6-18472,,,,ES-2,,,
VB,west surface,z6-19406,ES-2,,,,,,
VB,east surface,z6-19406,,ES-2,,,,,
VA,Mid tile,z6-18384,ES-2,,,,,,
VA,Mid surface,z6-18384,,ES-2,,,,,
VA,Mid piezometer,z6-18384,,,ES-2,,,,
VA,North tile,z6-18394,ES-2,,,,,,
VA,North surface,z6-18394,,ES-2,,,,,
